Numero,UsoIP,URLLargo,URLCorto,SimboloArroba,Redireccion,PrefijoSufijo,SubDominio,HTTPS,ExpiracionCreacionDominio,Icono,NoPuertoStd,HTTPSURLDominio,URLRespuesta,URLAnclaje,ScriptEnlaceEnEtiquetas,ControladorFormulariosServidor,InformacionCorreo,URLAnormal,ReenvioSitiosWeb,BarraEstadoPersonalizado,DeshabilitacionClicDerecho,UsoVentanaEmergente,RedireccionMarcoFlotante,EdadDeDominio,GrabacionDNS,TraficoSitioWeb,RangoPagina,IndiceGoogle,EnlacesApuntanPagina,ReporteEstadisticas,Clase,Url,Mensaje
711,1,0,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Organigrama2024-1.pdf,Sitio web sospechoso detectado
712,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Terminos-de-Referencia-y-Perfil-de-Cargos-1.pdf,Sitio web sospechoso detectado
713,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2023/03/Manual-de-Organizacion-y-Funciones.pdf,Sitio web sospechoso detectado
714,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2023/03/MANUAL-DE-PROCESOS-Y-PROCEDIMIENTOS.pdf,Sitio web sospechoso detectado
715,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2023/11/1-MANUAL-DOC-COMUNC-Y-FIRMAS.pdf,Sitio web sospechoso detectado
716,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Presupuesto-Institucional-1.pdf,Sitio web sospechoso detectado
717,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Presupuesto-Ejecutado-1.pdf,Sitio web sospechoso detectado
718,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Fuentes-de-Financiamiento-1.pdf,Sitio web sospechoso detectado
719,1,0,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Balance-General-1.pdf,Sitio web sospechoso detectado
720,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/wp-content/uploads/2024/06/Lista-de-Proveedores-1.pdf,Sitio web sospechoso detectado
721,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/marco-normativo/#enlace1,Sitio web sospechoso detectado
722,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,https://www.udape.gob.bo/marco-normativo/#enlace2,Sitio web sospechoso detectado
